words,pos,chunk,labels,sentence_id
This,_,O,O,0
study,_,O,O,0
examines,_,O,O,0
the,_,O,O,0
association,_,O,O,0
between,_,O,O,0
corporate,_,O,B-THE,0
social,_,O,I-THE,0
responsibility,_,O,I-THE,0
(,_,O,I-THE,0
CSR,_,O,I-THE,0
),_,O,I-THE,0
and,_,O,O,0
management,_,O,B-THE,0
forecast,_,O,I-THE,0
accuracy,_,O,I-THE,0
.,_,O,O,0
Using,_,O,O,0
data,_,O,O,0
from,_,O,O,0
1995,_,O,O,0
to,_,O,O,0
2009,_,O,O,0
",",_,O,O,0
we,_,O,O,0
find,_,O,O,0
that,_,O,O,0
firms,_,O,O,0
provide,_,O,O,0
more,_,O,O,0
accurate,_,O,O,0
earnings,_,O,B-THE,0
forecasts,_,O,I-THE,0
in,_,O,O,0
the,_,O,O,0
face,_,O,O,0
of,_,O,O,0
CSR,_,O,B-THE,0
activities,_,O,O,0
.,_,O,O,0
We,_,O,O,0
also,_,O,O,0
find,_,O,O,0
that,_,O,O,0
the,_,O,O,0
positive,_,O,O,0
association,_,O,O,0
between,_,O,O,0
CSR,_,O,B-THE,0
and,_,O,O,0
management,_,O,B-THE,0
forecast,_,O,I-THE,0
accuracy,_,O,I-THE,0
is,_,O,O,0
only,_,O,O,0
present,_,O,O,0
for,_,O,O,0
the,_,O,O,0
post-regulation,_,O,O,0
period,_,O,O,0
of,_,O,O,0
2001,_,O,O,0
–,_,O,O,0
2009,_,O,O,0
",",_,O,O,0
after,_,O,O,0
the,_,O,O,0
introduction,_,O,O,0
of,_,O,O,0
disclosure,_,O,O,0
regulations,_,O,O,0
intended,_,O,O,0
to,_,O,O,0
mitigate,_,O,O,0
managers,_,O,O,0
’,_,O,O,0
opportunistic,_,O,B-THE,0
behavior,_,O,I-THE,0
.,_,O,O,0
These,_,O,O,0
findings,_,O,O,0
are,_,O,O,0
consistent,_,O,O,0
with,_,O,O,0
the,_,O,O,0
notion,_,O,O,0
that,_,O,O,0
