words,pos,chunk,labels,sentence_id
This,_,O,O,0
paper,_,O,O,0
identifies,_,O,O,0
five,_,O,O,0
common,_,O,B-THE,0
risk,_,O,I-THE,0
factors,_,O,I-THE,0
in,_,O,I-THE,0
the,_,O,I-THE,0
returns,_,O,I-THE,0
on,_,O,I-THE,0
stocks,_,O,I-THE,0
and,_,O,I-THE,0
bonds,_,O,I-THE,0
.,_,O,O,0
There,_,O,O,0
are,_,O,O,0
three,_,O,O,0
stock-market,_,O,B-THE,0
factors,_,O,I-THE,0
:,_,O,O,0
an,_,O,O,0
overall,_,O,B-THE,0
market,_,O,I-THE,0
factor,_,O,I-THE,0
and,_,O,O,0
factors,_,O,O,0
related,_,O,O,0
to,_,O,O,0
firm,_,O,B-THE,0
size,_,O,I-THE,0
and,_,O,O,0
book-to-market,_,O,B-THE,0
equity,_,O,I-THE,0
.,_,O,O,0
There,_,O,O,0
are,_,O,O,0
two,_,O,O,0
bond-market,_,O,O,0
factors,_,O,O,0
",",_,O,O,0
related,_,O,O,0
to,_,O,O,0
maturity,_,O,B-THE,0
and,_,O,I-THE,0
default,_,O,I-THE,0
risks,_,O,I-THE,0
.,_,O,O,0
Stock,_,O,B-THE,0
returns,_,O,I-THE,0
have,_,O,O,0
shared,_,O,O,0
variation,_,O,O,0
due,_,O,O,0
to,_,O,O,0
the,_,O,O,0
stock-market,_,O,B-THE,0
factors,_,O,I-THE,0
",",_,O,O,0
and,_,O,O,0
they,_,O,O,0
are,_,O,O,0
linked,_,O,O,0
to,_,O,O,0
bond,_,O,O,0
returns,_,O,O,0
through,_,O,O,0
shared,_,O,O,0
variation,_,O,O,0
in,_,O,O,0
the,_,O,O,0
bond-market,_,O,B-THE,0
factors,_,O,I-THE,0
.,_,O,O,0
Except,_,O,O,0
for,_,O,O,0
low-grade,_,O,O,0
corporates,_,O,O,0
",",_,O,O,0
the,_,O,O,0
bond-market,_,O,B-THE,0
factors,_,O,I-THE,0
capture,_,O,O,0
the,_,O,O,0
common,_,O,O,0
variation,_,O,O,0
in,_,O,O,0
bond,_,O,B-THE,0
returns,_,O,I-THE,0
.,_,O,O,0
Most,_,O,O,0
important,_,O,O,0
",",_,O,O,0
the,_,O,O,0
five,_,O,O,0
factors,_,O,O,0
seem,_,O,O,0
to,_,O,O,0
explain,_,O,O,0
average,_,O,O,0
returns,_,O,B-THE,0
on,_,O,I-THE,0
stocks,_,O,I-THE,0
and,_,O,I-THE,0
bonds,_,O,I-THE,0
.,_,O,O,0
©,_,O,O,0
1993,_,O,O,0
.,_,O,O,0
This,_,O,O,1
paper,_,O,O,1
integrates,_,O,O,1
elements,_,O,O,1
from,_,O,O,1
the,_,O,O,1
theory,_,O,O,1
of,_,O,O,1
agency,_,O,O,1
",",_,O,O,1
the,_,O,O,1
theory,_,O,O,1
of,_,O,O,1
property,_,O,B-THE,1
rights,_,O,I-THE,1
and,_,O,O,1
the,_,O,O,1
theory,_,O,O,1
of,_,O,O,1
finance,_,O,O,1
to,_,O,O,1
develop,_,O,O,1
a,_,O,O,1
theory,_,O,O,1
of,_,O,O,1
the,_,O,O,1
ownership,_,O,B-THE,1
structure,_,O,I-THE,1
of,_,O,O,1
the,_,O,O,1
firm,_,O,O,1
.,_,O,O,1
We,_,O,O,1
define,_,O,O,1
the,_,O,O,1
concept,_,O,O,1
of,_,O,O,1
agency,_,O,B-THE,1
costs,_,O,I-THE,1
",",_,O,O,1
show,_,O,O,1
its,_,O,O,1
relationship,_,O,O,1
to,_,O,O,1
the,_,O,O,1
',_,O,O,1
separation,_,O,B-THE,1
and,_,O,I-THE,1
control,_,O,I-THE,1
',_,O,I-THE,1
issue,_,O,I-THE,1
",",_,O,O,1
investigate,_,O,O,1
the,_,O,O,1
nature,_,O,O,1
of,_,O,O,1
the,_,O,O,1
agency,_,O,B-THE,1
costs,_,O,I-THE,1
generated,_,O,O,1
by,_,O,O,1
the,_,O,O,1
existence,_,O,O,1
of,_,O,O,1
debt,_,O,B-THE,1
and,_,O,I-THE,1
outside,_,O,I-THE,1
equity,_,O,I-THE,1
",",_,O,O,1
demonstrate,_,O,O,1
who,_,O,O,1
bears,_,O,O,1
these,_,O,O,1
costs,_,O,O,1
and,_,O,O,1
why,_,O,O,1
",",_,O,O,1
and,_,O,O,1
investigate,_,O,O,1
the,_,O,O,1
Pareto,_,O,O,1
optimality,_,O,O,1
of,_,O,O,1
their,_,O,O,1
existence,_,O,O,1
.,_,O,O,1
We,_,O,O,1
also,_,O,O,1
provide,_,O,O,1
a,_,O,O,1
new,_,O,O,1
definition,_,O,O,1
of,_,O,O,1
the,_,O,O,1
firm,_,O,O,1
",",_,O,O,1
and,_,O,O,1
show,_,O,O,1
how,_,O,O,1
our,_,O,O,1
analysis,_,O,O,1
of,_,O,O,1
the,_,O,O,1
factors,_,O,O,1
influencing,_,O,O,1
the,_,O,O,1
creation,_,O,B-THE,1
and,_,O,I-THE,1
issuance,_,O,I-THE,1
